metric,estimate,percentile_2_5,percentile_97_5,finite_replicates,requested_replicates,CI_scope
M0__IBS,0.15950756894284285,0.15706518088261914,0.16149728424911294,500,500,Conditional on fixed fitted models; paired evaluation-BIN bootstrap
M0__BS_180,0.17748117551540055,0.17408519766685079,0.18022058080791092,500,500,Conditional on fixed fitted models; paired evaluation-BIN bootstrap
M0__AUC_180,0.53953338529606754,0.53052669046414969,0.54876922891028324,500,500,Conditional on fixed fitted models; paired evaluation-BIN bootstrap
M0__mean_calibration_bias_180,-0.025806718858511046,-0.032421221378759926,-0.020308626273092441,500,500,Conditional on fixed fitted models; paired evaluation-BIN bootstrap
M0__offset_intercept_180,0.14088711886569405,0.109910522026925,0.17871644191011857,500,500,Conditional on fixed fitted models; paired evaluation-BIN bootstrap
M0__joint_intercept_180,0.29685944964917071,0.063435395239016437,0.53055850189534182,500,500,Conditional on fixed fitted models; paired evaluation-BIN bootstrap
M0__slope_180,0.8528100229715474,0.64212929544925168,1.0608387031487481,500,500,Conditional on fixed fitted models; paired evaluation-BIN bootstrap
M0__BS_365,0.2360965951480529,0.23473675896502866,0.23725376609436399,500,500,Conditional on fixed fitted models; paired evaluation-BIN bootstrap
M0__AUC_365,0.53882651002038673,0.53149235451796939,0.54750136564703911,500,500,Conditional on fixed fitted models; paired evaluation-BIN bootstrap
M0__mean_calibration_bias_365,-0.047304974248369033,-0.055216737344292055,-0.040553721202048663,500,500,Conditional on fixed fitted models; paired evaluation-BIN bootstrap
M0__offset_intercept_365,0.19881317292679451,0.16997305364898849,0.23295048005462093,500,500,Conditional on fixed fitted models; paired evaluation-BIN bootstrap
M0__joint_intercept_365,0.28530211035753572,0.22360003237589887,0.34544424407877744,500,500,Conditional on fixed fitted models; paired evaluation-BIN bootstrap
M0__slope_365,0.7174860559454076,0.57750642625882243,0.88210286217875167,500,500,Conditional on fixed fitted models; paired evaluation-BIN bootstrap
M0__flagged,6744,6640,6842.1000000000004,500,500,Conditional on fixed fitted models; paired evaluation-BIN bootstrap
M0__realized_review_fraction,0.20358630682847309,0.20327114891781164,0.20383996190328474,500,500,Conditional on fixed fitted models; paired evaluation-BIN bootstrap
M0__persistence_among_flagged,0.6580664294187426,0.64685453909776025,0.67387183036525555,500,500,Conditional on fixed fitted models; paired evaluation-BIN bootstrap
M0__recall_persisters,0.21460348162475823,0.21095836172242674,0.2191310323441181,500,500,Conditional on fixed fitted models; paired evaluation-BIN bootstrap
M0__persisters_per_100_reviews,65.806642941874259,64.685453909776029,67.387183036525556,500,500,Conditional on fixed fitted models; paired evaluation-BIN bootstrap
M1__IBS,0.15688170776380303,0.15457666636281053,0.15901056538221547,500,500,Conditional on fixed fitted models; paired evaluation-BIN bootstrap
M1__BS_180,0.17470933876756262,0.17141237860860747,0.17750501782991046,500,500,Conditional on fixed fitted models; paired evaluation-BIN bootstrap
M1__AUC_180,0.58561984730982042,0.57734309943466444,0.59451889494833476,500,500,Conditional on fixed fitted models; paired evaluation-BIN bootstrap
M1__mean_calibration_bias_180,-0.026488279709677796,-0.032836173241641897,-0.020980874248824156,500,500,Conditional on fixed fitted models; paired evaluation-BIN bootstrap
M1__offset_intercept_180,0.14680079612589331,0.11521182883881413,0.18363839995551359,500,500,Conditional on fixed fitted models; paired evaluation-BIN bootstrap
M1__joint_intercept_180,0.15979588589369115,0.062815183314380948,0.25219082247963343,500,500,Conditional on fixed fitted models; paired evaluation-BIN bootstrap
M1__slope_180,0.98748141197899797,0.89879374035676174,1.073460591821636,500,500,Conditional on fixed fitted models; paired evaluation-BIN bootstrap
M1__BS_365,0.23113971728520047,0.22961312129923106,0.23254826076196933,500,500,Conditional on fixed fitted models; paired evaluation-BIN bootstrap
M1__AUC_365,0.58785298912967465,0.58061042204953728,0.5960788618386792,500,500,Conditional on fixed fitted models; paired evaluation-BIN bootstrap
M1__mean_calibration_bias_365,-0.047341685201979559,-0.055226584278245408,-0.040655041855592801,500,500,Conditional on fixed fitted models; paired evaluation-BIN bootstrap
M1__offset_intercept_365,0.20352962861594479,0.1742679396928048,0.2384689883144005,500,500,Conditional on fixed fitted models; paired evaluation-BIN bootstrap
M1__joint_intercept_365,0.2328388828195623,0.18959658949918326,0.27652491433567772,500,500,Conditional on fixed fitted models; paired evaluation-BIN bootstrap
M1__slope_365,0.90204962880815875,0.82476628330232993,0.98305606036598492,500,500,Conditional on fixed fitted models; paired evaluation-BIN bootstrap
M1__flagged,6744,6640,6842.1000000000004,500,500,Conditional on fixed fitted models; paired evaluation-BIN bootstrap
M1__realized_review_fraction,0.20358630682847309,0.20327114891781164,0.20383996190328474,500,500,Conditional on fixed fitted models; paired evaluation-BIN bootstrap
M1__persistence_among_flagged,0.70966785290628709,0.69640111255862536,0.72212084255214926,500,500,Conditional on fixed fitted models; paired evaluation-BIN bootstrap
M1__recall_persisters,0.23143133462282398,0.2274225897479516,0.23525420761765886,500,500,Conditional on fixed fitted models; paired evaluation-BIN bootstrap
M1__persisters_per_100_reviews,70.966785290628707,69.640111255862536,72.212084255214918,500,500,Conditional on fixed fitted models; paired evaluation-BIN bootstrap
Delta__IBS,-0.0026258611790398179,-0.0031154542509559311,-0.0021227483287989137,500,500,Conditional on fixed fitted models; paired evaluation-BIN bootstrap
Delta__BS_180,-0.0027718367478379302,-0.0033817549318524653,-0.0021935618626870469,500,500,Conditional on fixed fitted models; paired evaluation-BIN bootstrap
Delta__AUC_180,0.046086462013752882,0.039149031499434384,0.052862719149994998,500,500,Conditional on fixed fitted models; paired evaluation-BIN bootstrap
Delta__mean_calibration_bias_180,-0.00068156085116674939,-0.0013510030130187568,-4.9396904570179543e-05,500,500,Conditional on fixed fitted models; paired evaluation-BIN bootstrap
Delta__offset_intercept_180,0.0059136772601992571,0.0025699730945550176,0.0094889809354342103,500,500,Conditional on fixed fitted models; paired evaluation-BIN bootstrap
Delta__joint_intercept_180,-0.13706356375547957,-0.32264429973550013,0.035493859925307465,500,500,Conditional on fixed fitted models; paired evaluation-BIN bootstrap
Delta__slope_180,0.13467138900745057,-0.029165179804141881,0.30951958423458537,500,500,Conditional on fixed fitted models; paired evaluation-BIN bootstrap
Delta__BS_365,-0.0049568778628524268,-0.0058040697260445025,-0.0040463079891003744,500,500,Conditional on fixed fitted models; paired evaluation-BIN bootstrap
Delta__AUC_365,0.049026479109287924,0.042834733109711587,0.055114036729582927,500,500,Conditional on fixed fitted models; paired evaluation-BIN bootstrap
Delta__mean_calibration_bias_365,-3.6710953610526176e-05,-0.00087495147465357676,0.00083496962961819186,500,500,Conditional on fixed fitted models; paired evaluation-BIN bootstrap
Delta__offset_intercept_365,0.0047164556891502729,0.0010765323952197435,0.0085359596856316149,500,500,Conditional on fixed fitted models; paired evaluation-BIN bootstrap
