model,horizon,decile,n,predicted_persistence,observed_persistence
M0,180,1,3313,0.6962209609982714,0.7627527920313915
M0,180,2,3330,0.7116044173159309,0.7255255255255255
M0,180,3,3295,0.7210971595568524,0.7393019726858877
M0,180,4,3357,0.7305483693404233,0.7420315758117366
M0,180,5,3268,0.7393263581636331,0.7542839657282742
M0,180,6,3313,0.7476787535102389,0.7796559009960761
M0,180,7,3355,0.7557251035445873,0.7883755588673621
M0,180,8,3270,0.7646909534981416,0.8021406727828746
M0,180,9,3312,0.7758513311834284,0.7955917874396136
M0,180,10,3313,0.7955456875820421,0.8068216118321763
M1,180,1,3313,0.5936980966520599,0.6350739511017205
M1,180,2,3378,0.6975064646127079,0.7380106571936057
M1,180,3,3250,0.7276458474586911,0.7572307692307693
M1,180,4,3311,0.7396534564493217,0.7381455753548777
M1,180,5,3311,0.7503734686854615,0.7650256720024162
M1,180,6,3313,0.7607487255464349,0.7802595834591005
M1,180,7,3312,0.7703489552917789,0.792572463768116
M1,180,8,3313,0.7802034802640956,0.825233926954422
M1,180,9,3312,0.7934809591820525,0.8251811594202898
M1,180,10,3313,0.8181536754354304,0.8397223060670087
M0,365,1,3313,0.5095733107704747,0.5913069725324479
M0,365,2,3330,0.5306900927466284,0.5708708708708709
M0,365,3,3295,0.5439468618096459,0.5881638846737481
M0,365,4,3357,0.5572978192210857,0.5954721477509681
M0,365,5,3268,0.5698307604068311,0.609547123623011
M0,365,6,3313,0.5818774398085494,0.6465439178991851
M0,365,7,3355,0.5935922329236965,0.651564828614009
M0,365,8,3270,0.6067756437347603,0.6770642201834862
M0,365,9,3312,0.6233761041944501,0.6612318840579711
M0,365,10,3313,0.6532328735806726,0.6516752188348929
M1,365,1,3313,0.3796323037851906,0.44883791125867795
M1,365,2,3378,0.5096977922221961,0.5663114268798105
M1,365,3,3250,0.5514538584518709,0.5938461538461538
M1,365,4,3311,0.5686065707337981,0.6019329507701601
M1,365,5,3311,0.584132724739235,0.6194503171247357
M1,365,6,3313,0.5993424053036333,0.634470268638696
M1,365,7,3312,0.6135793958823968,0.6681763285024155
M1,365,8,3313,0.6283579477250505,0.6990642921823121
M1,365,9,3312,0.6485333531805851,0.6992753623188406
M1,365,10,3313,0.6869438061188927,0.7120434651373377
