model,horizon,decile,n,predicted_persistence,observed_persistence
M0,365,1,2552,0.48716877547936466,0.5995297805642633
M0,365,2,2344,0.5082425734749683,0.590443686006826
M0,365,3,2434,0.5219082733077095,0.610517666392769
M0,365,4,2443,0.5355732526602569,0.6094965206713058
M0,365,5,2443,0.5493374161881033,0.6246418338108882
M0,365,6,2478,0.5623100349534557,0.6416464891041163
M0,365,7,2408,0.5743033819984693,0.6723421926910299
M0,365,8,2461,0.5870253243631054,0.6659894351889476
M0,365,9,2425,0.6020076183957116,0.6729896907216495
M0,365,10,2443,0.6313322364860044,0.6852230863692181
M1,365,1,2444,0.36039357918011156,0.4316693944353519
M1,365,2,2443,0.48963314534842667,0.582480556692591
M1,365,3,2634,0.530804130640246,0.6192103264996204
M1,365,4,2255,0.5484642806116341,0.6297117516629712
M1,365,5,2440,0.5651351791757093,0.6418032786885246
M1,365,6,2443,0.5809252888738595,0.6721244371674171
M1,365,7,2443,0.5959077325235197,0.6721244371674171
M1,365,8,2443,0.6110386370470203,0.7081457224723701
M1,365,9,2443,0.6284802954746701,0.6942284076954564
M1,365,10,2443,0.6687143092224118,0.7220630372492837
