model,horizon,decile,n,predicted_persistence,observed_persistence
M0,365,1,2447,0.4443071207524725,0.5991009399264405
M0,365,2,2440,0.4651434077374632,0.6139344262295082
M0,365,3,2445,0.4758041353066492,0.5881390593047034
M0,365,4,2474,0.48591491897963984,0.6156022635408246
M0,365,5,2410,0.49714381983238437,0.6199170124481328
M0,365,6,2443,0.5095116196989112,0.6582071223905035
M0,365,7,2443,0.5203379208042774,0.6627097830536226
M0,365,8,2443,0.5323969133417344,0.6590257879656161
M0,365,9,2443,0.5493076843955023,0.6803110929185427
M0,365,10,2443,0.5798114763414517,0.6758084322554236
M1,365,1,2444,0.3304402581122265,0.43330605564648117
M1,365,2,2455,0.4675551536119246,0.5804480651731161
M1,365,3,2432,0.5112774148787725,0.6303453947368421
M1,365,4,2442,0.5247334798742768,0.6248976248976249
M1,365,5,2443,0.5375036671824819,0.6537044617273844
M1,365,6,2455,0.5510680660756976,0.6513238289205703
M1,365,7,2431,0.5643184904156249,0.6914849856026326
M1,365,8,2443,0.57729539931595,0.6958657388456816
M1,365,9,2446,0.595017543733559,0.7089125102207686
M1,365,10,2440,0.6343795273772761,0.7028688524590164
