model,horizon,decile,n,predicted_persistence,observed_persistence
M0,365,1,2090,0.44675959643643065,0.6114832535885167
M0,365,2,2179,0.4666161914989576,0.6062413951353832
M0,365,3,2001,0.47591272848670735,0.5947026486756621
M0,365,4,2234,0.487242896256062,0.6029543419874664
M0,365,5,1946,0.4979189772787726,0.6228160328879754
M0,365,6,2091,0.5086092801850812,0.6513629842180775
M0,365,7,2088,0.5180999360334558,0.6848659003831418
M0,365,8,2100,0.5299816713217659,0.660952380952381
M0,365,9,2081,0.5470970308447757,0.6770783277270543
M0,365,10,2089,0.5757728615563186,0.6615605552896122
M1,365,1,2090,0.33757589238288954,0.4416267942583732
M1,365,2,2090,0.47510021202408836,0.600956937799043
M1,365,3,2090,0.5120596195070289,0.6258373205741626
M1,365,4,2090,0.5243784506956678,0.622488038277512
M1,365,5,2090,0.5363338929825304,0.6401913875598086
M1,365,6,2090,0.5485867407421672,0.6559808612440191
M1,365,7,2092,0.5602533862837934,0.7065009560229446
M1,365,8,2091,0.5723771506111169,0.6719273075083692
M1,365,9,2086,0.5892176479176764,0.7157238734419943
M1,365,10,2090,0.62383310250884,0.691866028708134
