model,horizon,decile,n,predicted_persistence,observed_persistence
M0,180,1,2877,0.6400349082088347,0.7455683003128258
M0,180,2,2877,0.6575054733148702,0.7535627389641988
M0,180,3,2897,0.6673739794370971,0.7300655850880221
M0,180,4,2857,0.6743530056230576,0.7395869793489674
M0,180,5,2877,0.6827384359757779,0.7758081334723671
M0,180,6,2876,0.6907006141062348,0.7931154381084841
M0,180,7,2877,0.6988909941059744,0.8032672923183872
M0,180,8,2877,0.7075652916481137,0.8070907194994786
M0,180,9,2877,0.7194142783929118,0.8262078554049357
M0,180,10,2877,0.7403224511711667,0.8074383037886688
M1,180,1,2877,0.5498272335539289,0.6409454292665971
M1,180,2,2880,0.6661236444826312,0.7291666666666666
M1,180,3,2978,0.6940290954201207,0.7703156480859638
M1,180,4,2774,0.7045895822865962,0.7523431867339582
M1,180,5,2882,0.7127864107725599,0.7668285912560722
M1,180,6,2871,0.7213433357936068,0.801811215604319
M1,180,7,2876,0.7299184486061211,0.8153685674547984
M1,180,8,2877,0.7390843545410094,0.8213416753562739
M1,180,9,2877,0.7504026080585728,0.8435870698644421
M1,180,10,2877,0.7739187808003011,0.8394160583941606
