metric,estimate,percentile_2_5,percentile_97_5,finite_replicates,requested_replicates,CI_scope
M0__BS_180,0.17998016770004552,0.1776011424113923,0.18238132871813881,500,500,Conditional on fixed fitted models; paired evaluation-BIN bootstrap
M0__AUC_180,0.54928877319831704,0.5393064492105899,0.56015933235945714,500,500,Conditional on fixed fitted models; paired evaluation-BIN bootstrap
M0__mean_calibration_bias_180,-0.090279002235731029,-0.096451389607584925,-0.083954683011157771,500,500,Conditional on fixed fitted models; paired evaluation-BIN bootstrap
M0__offset_intercept_180,0.46640782763680416,0.43007342841110674,0.50246359635621807,500,500,Conditional on fixed fitted models; paired evaluation-BIN bootstrap
M0__joint_intercept_180,0.30264807982950442,0.073187593256649003,0.51549424462104732,500,500,Conditional on fixed fitted models; paired evaluation-BIN bootstrap
M0__slope_180,1.2093149117449844,0.95124877337084413,1.4972764250559076,500,500,Conditional on fixed fitted models; paired evaluation-BIN bootstrap
M0__flagged,5859,5761.4750000000004,5940.5249999999996,500,500,Conditional on fixed fitted models; paired evaluation-BIN bootstrap
M0__realized_review_fraction,0.20365671382390768,0.2034744820351104,0.20407351519216854,500,500,Conditional on fixed fitted models; paired evaluation-BIN bootstrap
M0__persistence_among_flagged,0.81549752517494456,0.80344985887657727,0.82602178813698823,500,500,Conditional on fixed fitted models; paired evaluation-BIN bootstrap
M0__recall_persisters,0.21342743556528343,0.21050249550970065,0.21617134171434257,500,500,Conditional on fixed fitted models; paired evaluation-BIN bootstrap
M0__persisters_per_100_reviews,81.549752517494454,80.344985887657728,82.602178813698828,500,500,Conditional on fixed fitted models; paired evaluation-BIN bootstrap
M1__BS_180,0.17462295059762578,0.17221844925005758,0.17730211433700122,500,500,Conditional on fixed fitted models; paired evaluation-BIN bootstrap
M1__AUC_180,0.59059538151681434,0.58155927422487541,0.59875324321410972,500,500,Conditional on fixed fitted models; paired evaluation-BIN bootstrap
M1__mean_calibration_bias_180,-0.074005696084973441,-0.080107991165951728,-0.068074404962852081,500,500,Conditional on fixed fitted models; paired evaluation-BIN bootstrap
M1__offset_intercept_180,0.3949831060753185,0.36035463319929978,0.43137269030607361,500,500,Conditional on fixed fitted models; paired evaluation-BIN bootstrap
M1__joint_intercept_180,0.31939556497583577,0.23091019336822358,0.41764644259399236,500,500,Conditional on fixed fitted models; paired evaluation-BIN bootstrap
M1__slope_180,1.0899754161877051,0.98839852508687154,1.1852414833983256,500,500,Conditional on fixed fitted models; paired evaluation-BIN bootstrap
M1__flagged,5859,5761.4750000000004,5940.5249999999996,500,500,Conditional on fixed fitted models; paired evaluation-BIN bootstrap
M1__realized_review_fraction,0.20365671382390768,0.2034744820351104,0.20407351519216854,500,500,Conditional on fixed fitted models; paired evaluation-BIN bootstrap
M1__persistence_among_flagged,0.83956306536951697,0.82778943955542539,0.8491425163081997,500,500,Conditional on fixed fitted models; paired evaluation-BIN bootstrap
M1__recall_persisters,0.21972573368472775,0.21690544508482826,0.22216766986016254,500,500,Conditional on fixed fitted models; paired evaluation-BIN bootstrap
M1__persisters_per_100_reviews,83.956306536951701,82.778943955542545,84.914251630819962,500,500,Conditional on fixed fitted models; paired evaluation-BIN bootstrap
Delta__BS_180,-0.0053572171024197368,-0.0059641044133580314,-0.0046942047746350172,500,500,Conditional on fixed fitted models; paired evaluation-BIN bootstrap
Delta__AUC_180,0.041306608318497307,0.034013644319911371,0.048201968653524219,500,500,Conditional on fixed fitted models; paired evaluation-BIN bootstrap
Delta__mean_calibration_bias_180,0.016273306150757588,0.015544788868033382,0.016935404189018906,500,500,Conditional on fixed fitted models; paired evaluation-BIN bootstrap
Delta__offset_intercept_180,-0.07142472156148566,-0.074965223345313914,-0.067648759664937455,500,500,Conditional on fixed fitted models; paired evaluation-BIN bootstrap
Delta__joint_intercept_180,0.016747485146331342,-0.1583729140560004,0.22244437812445747,500,500,Conditional on fixed fitted models; paired evaluation-BIN bootstrap
Delta__slope_180,-0.1193394955572793,-0.38039827772410106,0.10363670162155937,500,500,Conditional on fixed fitted models; paired evaluation-BIN bootstrap
Delta__flagged,0,0,0,500,500,Conditional on fixed fitted models; paired evaluation-BIN bootstrap
Delta__realized_review_fraction,0,0,0,500,500,Conditional on fixed fitted models; paired evaluation-BIN bootstrap
Delta__persistence_among_flagged,0.02406554019457241,0.015507028308006359,0.032467955191572542,500,500,Conditional on fixed fitted models; paired evaluation-BIN bootstrap
Delta__recall_persisters,0.0062982981194443233,0.0040717257313902886,0.0084920125214124013,500,500,Conditional on fixed fitted models; paired evaluation-BIN bootstrap
Delta__persisters_per_100_reviews,2.4065540194572463,1.5507028308006425,3.2467955191572506,500,500,Conditional on fixed fitted models; paired evaluation-BIN bootstrap
M0__Uno_C_180,0.54446165470399399,0.53543860636826046,0.55399164227339404,500,500,Conditional on fixed fitted models; paired evaluation-BIN bootstrap
M1__Uno_C_180,0.58173065469218599,0.57348358904082863,0.58895536159113815,500,500,Conditional on fixed fitted models; paired evaluation-BIN bootstrap
Delta__Uno_C_180,0.037268999988192102,0.030823017232695267,0.043327151803166049,500,500,Conditional on fixed fitted models; paired evaluation-BIN bootstrap
