model,horizon,decile,n,predicted_persistence,observed_persistence
M0,180,1,3387,0.6285771747048156,0.7360496014171833
M0,180,2,3383,0.6557465405542069,0.7339639373337274
M0,180,3,3413,0.6689628006747494,0.7500732493407559
M0,180,4,3363,0.6786392101593582,0.7543859649122807
M0,180,5,3427,0.6889580290535756,0.7840676976947768
M0,180,6,3335,0.6981725877037234,0.7700149925037482
M0,180,7,3443,0.7089625818407994,0.7891373801916933
M0,180,8,3347,0.7215165160260042,0.7869734090230057
M0,180,9,3364,0.7392831511539792,0.8115338882282996
M0,180,10,3385,0.7757191066072712,0.8366322008862629
M1,180,1,3385,0.5465486610895828,0.624519940915805
M1,180,2,3401,0.6638955924620491,0.7374301675977654
M1,180,3,3368,0.6903651231440191,0.7624703087885986
M1,180,4,3385,0.7045278259332208,0.7680945347119645
M1,180,5,3385,0.7153622540935705,0.7734121122599704
M1,180,6,3391,0.72608521277422,0.8030079622530227
M1,180,7,3381,0.7365956677734411,0.7941437444543035
M1,180,8,3381,0.7482694765259081,0.8047914818101154
M1,180,9,3385,0.7652209912905127,0.8274741506646972
M1,180,10,3385,0.8049847945732618,0.8576070901033973
