metric,estimate,percentile_2_5,percentile_97_5,finite_replicates,requested_replicates,CI_scope
M0__BS_180,0.1796116557311106,0.17713847321505974,0.18201521614544575,500,500,Conditional on fixed fitted models; paired evaluation-BIN bootstrap
M0__AUC_180,0.54984875522677734,0.54124018226074999,0.55875538078648213,500,500,Conditional on fixed fitted models; paired evaluation-BIN bootstrap
M0__mean_calibration_bias_180,-0.078887005341331209,-0.085111056413250175,-0.072464171764296953,500,500,Conditional on fixed fitted models; paired evaluation-BIN bootstrap
M0__offset_intercept_180,0.41126112115357033,0.37450793438369623,0.44767816795640147,500,500,Conditional on fixed fitted models; paired evaluation-BIN bootstrap
M0__joint_intercept_180,0.49180540418259688,0.36247519166124714,0.62334661209651954,500,500,Conditional on fixed fitted models; paired evaluation-BIN bootstrap
M0__slope_180,0.90143854678963486,0.74919415146907931,1.0548432527963092,500,500,Conditional on fixed fitted models; paired evaluation-BIN bootstrap
M0__flagged,6875,6777.9499999999998,6987.6750000000002,500,500,Conditional on fixed fitted models; paired evaluation-BIN bootstrap
M0__realized_review_fraction,0.20311992200194995,0.20293158854938909,0.20352450185786902,500,500,Conditional on fixed fitted models; paired evaluation-BIN bootstrap
M0__persistence_among_flagged,0.82501818181818187,0.81246730376651632,0.83454831633088378,500,500,Conditional on fixed fitted models; paired evaluation-BIN bootstrap
M0__recall_persisters,0.21615029915018483,0.21298985762638006,0.21866917027959928,500,500,Conditional on fixed fitted models; paired evaluation-BIN bootstrap
M0__persisters_per_100_reviews,82.50181818181818,81.246730376651641,83.454831633088375,500,500,Conditional on fixed fitted models; paired evaluation-BIN bootstrap
M1__BS_180,0.17465767212166425,0.1720515163323805,0.1772077331406339,500,500,Conditional on fixed fitted models; paired evaluation-BIN bootstrap
M1__AUC_180,0.58976014144583866,0.58093780842610909,0.59784296380963831,500,500,Conditional on fixed fitted models; paired evaluation-BIN bootstrap
M1__mean_calibration_bias_180,-0.065114060982250477,-0.071164660471483246,-0.058917866208096886,500,500,Conditional on fixed fitted models; paired evaluation-BIN bootstrap
M1__offset_intercept_180,0.35035547195304112,0.31446729881061508,0.38634252876355257,500,500,Conditional on fixed fitted models; paired evaluation-BIN bootstrap
M1__joint_intercept_180,0.34697272092901799,0.26795854348285264,0.43063338672293677,500,500,Conditional on fixed fitted models; paired evaluation-BIN bootstrap
M1__slope_180,1.0039178402005213,0.92020923252234998,1.0836668880630282,500,500,Conditional on fixed fitted models; paired evaluation-BIN bootstrap
M1__flagged,6875,6777.9499999999998,6987.6750000000002,500,500,Conditional on fixed fitted models; paired evaluation-BIN bootstrap
M1__realized_review_fraction,0.20311992200194995,0.20293158854938909,0.20352450185786902,500,500,Conditional on fixed fitted models; paired evaluation-BIN bootstrap
M1__persistence_among_flagged,0.84087272727272733,0.82951734012351586,0.85084769325552201,500,500,Conditional on fixed fitted models; paired evaluation-BIN bootstrap
M1__recall_persisters,0.22030410426431921,0.217549018078945,0.22271739351322231,500,500,Conditional on fixed fitted models; paired evaluation-BIN bootstrap
M1__persisters_per_100_reviews,84.087272727272733,82.951734012351579,85.084769325552188,500,500,Conditional on fixed fitted models; paired evaluation-BIN bootstrap
Delta__BS_180,-0.0049539836094463496,-0.0055832337197246609,-0.0043608769700585852,500,500,Conditional on fixed fitted models; paired evaluation-BIN bootstrap
Delta__AUC_180,0.039911386219061318,0.034176619628257375,0.045902850210295276,500,500,Conditional on fixed fitted models; paired evaluation-BIN bootstrap
Delta__mean_calibration_bias_180,0.013772944359080733,0.013117715215948966,0.014440000556428238,500,500,Conditional on fixed fitted models; paired evaluation-BIN bootstrap
Delta__offset_intercept_180,-0.06090564920052921,-0.064378336338657235,-0.057620413615854793,500,500,Conditional on fixed fitted models; paired evaluation-BIN bootstrap
Delta__joint_intercept_180,-0.1448326832535789,-0.2489908190214779,-0.040847233629022685,500,500,Conditional on fixed fitted models; paired evaluation-BIN bootstrap
Delta__slope_180,0.10247929341088646,-0.02522164856997039,0.22814500470840804,500,500,Conditional on fixed fitted models; paired evaluation-BIN bootstrap
Delta__flagged,0,0,0,500,500,Conditional on fixed fitted models; paired evaluation-BIN bootstrap
Delta__realized_review_fraction,0,0,0,500,500,Conditional on fixed fitted models; paired evaluation-BIN bootstrap
Delta__persistence_among_flagged,0.015854545454545454,0.0092382457403727778,0.02332015909124938,500,500,Conditional on fixed fitted models; paired evaluation-BIN bootstrap
Delta__recall_persisters,0.004153805114134379,0.0024274025401365431,0.0061232181183704937,500,500,Conditional on fixed fitted models; paired evaluation-BIN bootstrap
Delta__persisters_per_100_reviews,1.585454545454553,0.92382457403727791,2.3320159091249493,500,500,Conditional on fixed fitted models; paired evaluation-BIN bootstrap
M0__Uno_C_180,0.54546788301677496,0.53781327633102671,0.55309528969777966,500,500,Conditional on fixed fitted models; paired evaluation-BIN bootstrap
M1__Uno_C_180,0.58164885648897302,0.57385955170980518,0.58864032314722703,500,500,Conditional on fixed fitted models; paired evaluation-BIN bootstrap
Delta__Uno_C_180,0.0361809734721978,0.031016049458411288,0.041730014832585309,500,500,Conditional on fixed fitted models; paired evaluation-BIN bootstrap
