metric,estimate,percentile_2_5,percentile_97_5,finite_replicates,requested_replicates,CI_scope
M0__IBS,0.16070896711763416,0.15841519311632932,0.16264850489090438,500,500,Conditional on fixed fitted models; paired evaluation-BIN bootstrap
M0__BS_180,0.17864659023999357,0.17549072339017896,0.18132933880388818,500,500,Conditional on fixed fitted models; paired evaluation-BIN bootstrap
M0__AUC_180,0.537110912684022,0.52761676950873859,0.54607017323112039,500,500,Conditional on fixed fitted models; paired evaluation-BIN bootstrap
M0__mean_calibration_bias_180,-0.039309474107141612,-0.045949772266719535,-0.033800034284185126,500,500,Conditional on fixed fitted models; paired evaluation-BIN bootstrap
M0__offset_intercept_180,0.21145330909218515,0.18028907905288549,0.24957531932964511,500,500,Conditional on fixed fitted models; paired evaluation-BIN bootstrap
M0__joint_intercept_180,0.575161389340616,0.41921037409558609,0.74029063880951362,500,500,Conditional on fixed fitted models; paired evaluation-BIN bootstrap
M0__slope_180,0.63183021138182616,0.46741407387762285,0.78457636361812544,500,500,Conditional on fixed fitted models; paired evaluation-BIN bootstrap
M0__BS_365,0.23918302310708373,0.23801738261556443,0.24017485201142963,500,500,Conditional on fixed fitted models; paired evaluation-BIN bootstrap
M0__AUC_365,0.5283057256089051,0.51957611421061667,0.53661663317071739,500,500,Conditional on fixed fitted models; paired evaluation-BIN bootstrap
M0__mean_calibration_bias_365,-0.0637247978432499,-0.07154252126646625,-0.05681973248210332,500,500,Conditional on fixed fitted models; paired evaluation-BIN bootstrap
M0__offset_intercept_365,0.26747707399593101,0.23780425993646448,0.30134637922413943,500,500,Conditional on fixed fitted models; paired evaluation-BIN bootstrap
M0__joint_intercept_365,0.40582284823141707,0.35858173558689083,0.45349141062688758,500,500,Conditional on fixed fitted models; paired evaluation-BIN bootstrap
M0__slope_365,0.41750491133093065,0.29144653012813793,0.55035965000322429,500,500,Conditional on fixed fitted models; paired evaluation-BIN bootstrap
M0__flagged,6744,6640,6842.1000000000004,500,500,Conditional on fixed fitted models; paired evaluation-BIN bootstrap
M0__realized_review_fraction,0.20358630682847309,0.20327114891781164,0.20383996190328474,500,500,Conditional on fixed fitted models; paired evaluation-BIN bootstrap
M0__persistence_among_flagged,0.66948398576512458,0.65497558427653135,0.68323168878448759,500,500,Conditional on fixed fitted models; paired evaluation-BIN bootstrap
M0__recall_persisters,0.21832688588007737,0.21398806080641253,0.2222055100909828,500,500,Conditional on fixed fitted models; paired evaluation-BIN bootstrap
M0__persisters_per_100_reviews,66.94839857651246,65.497558427653132,68.323168878448769,500,500,Conditional on fixed fitted models; paired evaluation-BIN bootstrap
M1__IBS,0.15744424930587636,0.15523310586316083,0.15951963080417669,500,500,Conditional on fixed fitted models; paired evaluation-BIN bootstrap
M1__BS_180,0.17526713467085064,0.17215683016531094,0.17801687770431096,500,500,Conditional on fixed fitted models; paired evaluation-BIN bootstrap
M1__AUC_180,0.57955853909556387,0.5707213868998019,0.58785994684180043,500,500,Conditional on fixed fitted models; paired evaluation-BIN bootstrap
M1__mean_calibration_bias_180,-0.033407614242202725,-0.039793843138805615,-0.027880943023638031,500,500,Conditional on fixed fitted models; paired evaluation-BIN bootstrap
M1__offset_intercept_180,0.18399886136901786,0.15234792743771844,0.22134114945975322,500,500,Conditional on fixed fitted models; paired evaluation-BIN bootstrap
M1__joint_intercept_180,0.27198231628078851,0.1784330948851639,0.35786773628241125,500,500,Conditional on fixed fitted models; paired evaluation-BIN bootstrap
M1__slope_180,0.91201550887703375,0.82906449713854957,0.99489578610669915,500,500,Conditional on fixed fitted models; paired evaluation-BIN bootstrap
M1__BS_365,0.23284438245260222,0.23139260866086989,0.23433869911412172,500,500,Conditional on fixed fitted models; paired evaluation-BIN bootstrap
M1__AUC_365,0.5765193547148828,0.56891230441154106,0.58469837657014978,500,500,Conditional on fixed fitted models; paired evaluation-BIN bootstrap
M1__mean_calibration_bias_365,-0.05352009138581338,-0.06134300710011633,-0.046855715710441455,500,500,Conditional on fixed fitted models; paired evaluation-BIN bootstrap
M1__offset_intercept_365,0.2304046177569968,0.20118047558967517,0.26499137350686558,500,500,Conditional on fixed fitted models; paired evaluation-BIN bootstrap
M1__joint_intercept_365,0.28963794046589547,0.24985580165949503,0.33006505862276586,500,500,Conditional on fixed fitted models; paired evaluation-BIN bootstrap
M1__slope_365,0.78227703217220468,0.71659898008299061,0.85697715947778919,500,500,Conditional on fixed fitted models; paired evaluation-BIN bootstrap
M1__flagged,6744,6640,6842.1000000000004,500,500,Conditional on fixed fitted models; paired evaluation-BIN bootstrap
M1__realized_review_fraction,0.20358630682847309,0.20327114891781164,0.20383996190328474,500,500,Conditional on fixed fitted models; paired evaluation-BIN bootstrap
M1__persistence_among_flagged,0.70996441281138789,0.6963593105437631,0.72308614336884791,500,500,Conditional on fixed fitted models; paired evaluation-BIN bootstrap
M1__recall_persisters,0.23152804642166344,0.22719161115534584,0.23518531097183873,500,500,Conditional on fixed fitted models; paired evaluation-BIN bootstrap
M1__persisters_per_100_reviews,70.996441281138786,69.635931054376314,72.308614336884787,500,500,Conditional on fixed fitted models; paired evaluation-BIN bootstrap
Delta__IBS,-0.0032647178117578002,-0.0037717161008412096,-0.0027482697586437271,500,500,Conditional on fixed fitted models; paired evaluation-BIN bootstrap
Delta__BS_180,-0.0033794555691429307,-0.0040429617783032754,-0.002780298549530197,500,500,Conditional on fixed fitted models; paired evaluation-BIN bootstrap
Delta__AUC_180,0.042447626411541872,0.035263491067316917,0.048545045446288154,500,500,Conditional on fixed fitted models; paired evaluation-BIN bootstrap
Delta__mean_calibration_bias_180,0.0059018598649388868,0.0052204058102377302,0.0065669821309101602,500,500,Conditional on fixed fitted models; paired evaluation-BIN bootstrap
Delta__offset_intercept_180,-0.027454447723167297,-0.031028282528291595,-0.023826491162370272,500,500,Conditional on fixed fitted models; paired evaluation-BIN bootstrap
Delta__joint_intercept_180,-0.3031790730598275,-0.43772097482219341,-0.17909507841221803,500,500,Conditional on fixed fitted models; paired evaluation-BIN bootstrap
Delta__slope_180,0.2801852974952076,0.15577564290836124,0.41388822480461851,500,500,Conditional on fixed fitted models; paired evaluation-BIN bootstrap
Delta__BS_365,-0.0063386406544815033,-0.0071937692669406233,-0.0054168179652323862,500,500,Conditional on fixed fitted models; paired evaluation-BIN bootstrap
Delta__AUC_365,0.048213629105977707,0.042605144984392905,0.054082505356132501,500,500,Conditional on fixed fitted models; paired evaluation-BIN bootstrap
Delta__mean_calibration_bias_365,0.01020470645743652,0.0093252652661304468,0.011078507802262126,500,500,Conditional on fixed fitted models; paired evaluation-BIN bootstrap
Delta__offset_intercept_365,-0.037072456238934209,-0.040570963119420121,-0.033271612972319439,500,500,Conditional on fixed fitted models; paired evaluation-BIN bootstrap
Delta__joint_intercept_365,-0.11618490776552159,-0.14244569707462698,-0.090835192592528521,500,500,Conditional on fixed fitted models; paired evaluation-BIN bootstrap
Delta__slope_365,0.36477212084127403,0.25910508110252317,0.46577507264487689,500,500,Conditional on fixed fitted models; paired evaluation-BIN bootstrap
Delta__flagged,0,0,0,500,500,Conditional on fixed fitted models; paired evaluation-BIN bootstrap
Delta__realized_review_fraction,0,0,0,500,500,Conditional on fixed fitted models; paired evaluation-BIN bootstrap
Delta__persistence_among_flagged,0.040480427046263312,0.031316222299188012,0.049170364079311767,500,500,Conditional on fixed fitted models; paired evaluation-BIN bootstrap
Delta__recall_persisters,0.013201160541586071,0.010211641915542535,0.016004196667679226,500,500,Conditional on fixed fitted models; paired evaluation-BIN bootstrap
Delta__persisters_per_100_reviews,4.0480427046263259,3.131622229918805,4.9170364079311826,500,500,Conditional on fixed fitted models; paired evaluation-BIN bootstrap
IBS_relative_reduction_percent,2.0314471994385506,1.7071701541670041,2.3525962985087903,500,500,Conditional on fixed fitted models; paired evaluation-BIN bootstrap
M0__Uno_C_365,0.52729445669715502,0.52021123628272281,0.53384060544598599,500,500,Conditional on fixed fitted models; paired evaluation-BIN bootstrap
M1__Uno_C_365,0.56586438516582205,0.5596873080517778,0.57187037551120534,500,500,Conditional on fixed fitted models; paired evaluation-BIN bootstrap
