model,horizon,decile,n,predicted_persistence,observed_persistence
M0,180,1,3314,0.6693941469830899,0.7447193723596862
M0,180,2,3316,0.692408555031763,0.732810615199035
M0,180,3,3308,0.7038007438159324,0.7357920193470375
M0,180,4,3314,0.7122593737646687,0.7685576342788172
M0,180,5,3313,0.7223342231243889,0.7790522185330516
M0,180,6,3312,0.7314554205044291,0.7765700483091788
M0,180,7,3311,0.742012285578031,0.7641196013289037
M0,180,8,3313,0.7544959699600304,0.778146694838515
M0,180,9,3312,0.7718677533418038,0.7998188405797102
M0,180,10,3313,0.8029844566628612,0.8164805312405674
M1,180,1,3313,0.5783737463556967,0.6338665861756716
M1,180,2,3313,0.6928806476857682,0.7570178086326592
M1,180,3,3315,0.7191085194956074,0.7417797888386124
M1,180,4,3311,0.7314198374989611,0.7502265176683781
M1,180,5,3316,0.7406868325149565,0.7753317249698432
M1,180,6,3309,0.7506597256806706,0.7951042611060744
M1,180,7,3311,0.7608347519669462,0.7765025672002416
M1,180,8,3332,0.7730829185862059,0.7935174069627852
M1,180,9,3293,0.7900447792611932,0.8211357424840571
M1,180,10,3313,0.8250508794357316,0.8517959553274977
M0,365,1,3314,0.476508371005645,0.600181050090525
M0,365,2,3316,0.5069085487839121,0.5958986731001207
M0,365,3,3308,0.5224236508855401,0.587968561064087
M0,365,4,3314,0.5340893233554149,0.6200965600482801
M0,365,5,3313,0.548137335354652,0.6248113492303049
M0,365,6,3312,0.5609995705418207,0.6234903381642513
M0,365,7,3311,0.576061199858907,0.6336454243430988
M0,365,8,3313,0.5941059936489536,0.6260187141563538
M0,365,9,3312,0.6196576545273843,0.663647342995169
M0,365,10,3313,0.6667424966749589,0.6670691216420163
M1,365,1,3313,0.36668851909581224,0.45125264111077573
M1,365,2,3313,0.5068731439944252,0.5964382734681557
M1,365,3,3315,0.54283248891967,0.6009049773755656
M1,365,4,3311,0.5601695372825441,0.6037450921171852
M1,365,5,3316,0.573391819871906,0.6269601930036188
M1,365,6,3309,0.5877772654443875,0.6509519492293744
M1,365,7,3311,0.6026271552008677,0.6357595892479614
M1,365,8,3332,0.620730378227312,0.6629651860744298
M1,365,9,3293,0.6462184166413685,0.6878226541147889
M1,365,10,3313,0.7005375795503043,0.7262300030184123
