metric,estimate,percentile_2_5,percentile_97_5,finite_replicates,requested_replicates,CI_scope
M0__IBS,0.16192883386076215,0.15970086677194878,0.16380939123833829,500,500,Conditional on fixed fitted models; paired evaluation-BIN bootstrap
M0__BS_180,0.18003428160329998,0.17684545520989498,0.1829754685486292,500,500,Conditional on fixed fitted models; paired evaluation-BIN bootstrap
M0__AUC_180,0.53268242748302908,0.52266766982371116,0.54365683508430529,500,500,Conditional on fixed fitted models; paired evaluation-BIN bootstrap
M0__mean_calibration_bias_180,-0.046292406892444661,-0.053592693420775175,-0.039349704672138039,500,500,Conditional on fixed fitted models; paired evaluation-BIN bootstrap
M0__offset_intercept_180,0.24483378535032718,0.20617675635331861,0.28647792203870093,500,500,Conditional on fixed fitted models; paired evaluation-BIN bootstrap
M0__joint_intercept_180,0.39474873113628445,0.11677226276304399,0.65396844385189434,500,500,Conditional on fixed fitted models; paired evaluation-BIN bootstrap
M0__slope_180,0.84179870735889506,0.57788161350780065,1.121173948420257,500,500,Conditional on fixed fitted models; paired evaluation-BIN bootstrap
M0__BS_365,0.24107822909783216,0.240144525929538,0.24197322427949558,500,500,Conditional on fixed fitted models; paired evaluation-BIN bootstrap
M0__AUC_365,0.52525742307661394,0.51524947339620941,0.53482113325062686,500,500,Conditional on fixed fitted models; paired evaluation-BIN bootstrap
M0__mean_calibration_bias_365,-0.075738628970032307,-0.084426751601346439,-0.066651259120067821,500,500,Conditional on fixed fitted models; paired evaluation-BIN bootstrap
M0__offset_intercept_365,0.31394197668271251,0.27536919697242346,0.35120901153690026,500,500,Conditional on fixed fitted models; paired evaluation-BIN bootstrap
M0__joint_intercept_365,0.39605623990320643,0.34290393261038837,0.45281243002930172,500,500,Conditional on fixed fitted models; paired evaluation-BIN bootstrap
M0__slope_365,0.53854341560979146,0.32275009168675339,0.75476213997407271,500,500,Conditional on fixed fitted models; paired evaluation-BIN bootstrap
M0__flagged,6044,5936.4750000000004,6149.5249999999996,500,500,Conditional on fixed fitted models; paired evaluation-BIN bootstrap
M0__realized_review_fraction,0.20402376451525789,0.20364290029539403,0.20428023658645428,500,500,Conditional on fixed fitted models; paired evaluation-BIN bootstrap
M0__persistence_among_flagged,0.65155526141628062,0.6364156807836624,0.66884364135428076,500,500,Conditional on fixed fitted models; paired evaluation-BIN bootstrap
M0__recall_persisters,0.21409155159291074,0.20942045228843326,0.21872166470870494,500,500,Conditional on fixed fitted models; paired evaluation-BIN bootstrap
M0__persisters_per_100_reviews,65.155526141628059,63.641568078366241,66.884364135428072,500,500,Conditional on fixed fitted models; paired evaluation-BIN bootstrap
M1__IBS,0.1585410403001245,0.15622258745651671,0.16058854298254455,500,500,Conditional on fixed fitted models; paired evaluation-BIN bootstrap
M1__BS_180,0.17657987606205156,0.17326676226574061,0.17967719993853051,500,500,Conditional on fixed fitted models; paired evaluation-BIN bootstrap
M1__AUC_180,0.57870735850509925,0.56989868095537688,0.58786538550892553,500,500,Conditional on fixed fitted models; paired evaluation-BIN bootstrap
M1__mean_calibration_bias_180,-0.037691832139880421,-0.044921178857916889,-0.031021753090913567,500,500,Conditional on fixed fitted models; paired evaluation-BIN bootstrap
M1__offset_intercept_180,0.20459117153015063,0.16678341340154224,0.24626604951341854,500,500,Conditional on fixed fitted models; paired evaluation-BIN bootstrap
M1__joint_intercept_180,0.21350036011912404,0.10446026195441625,0.32280020744061622,500,500,Conditional on fixed fitted models; paired evaluation-BIN bootstrap
M1__slope_180,0.990851245979399,0.88483445412112438,1.0866813699974631,500,500,Conditional on fixed fitted models; paired evaluation-BIN bootstrap
M1__BS_365,0.23436806986007475,0.23302997931099431,0.23583664184245068,500,500,Conditional on fixed fitted models; paired evaluation-BIN bootstrap
M1__AUC_365,0.57877977603328201,0.57100576615951548,0.58773506753273053,500,500,Conditional on fixed fitted models; paired evaluation-BIN bootstrap
M1__mean_calibration_bias_365,-0.062034771024031835,-0.070729906027157827,-0.053268630673515262,500,500,Conditional on fixed fitted models; paired evaluation-BIN bootstrap
M1__offset_intercept_365,0.26382903590869161,0.2257268889694406,0.30194144884323815,500,500,Conditional on fixed fitted models; paired evaluation-BIN bootstrap
M1__joint_intercept_365,0.29187524699250234,0.24852999253255392,0.33514878049664315,500,500,Conditional on fixed fitted models; paired evaluation-BIN bootstrap
M1__slope_365,0.87639276871557448,0.79153353932508241,0.96747665168060626,500,500,Conditional on fixed fitted models; paired evaluation-BIN bootstrap
M1__flagged,6044,5936.4750000000004,6149.5249999999996,500,500,Conditional on fixed fitted models; paired evaluation-BIN bootstrap
M1__realized_review_fraction,0.20402376451525789,0.20364290029539403,0.20428023658645428,500,500,Conditional on fixed fitted models; paired evaluation-BIN bootstrap
M1__persistence_among_flagged,0.70334215751158169,0.68739952746961974,0.71612970430107525,500,500,Conditional on fixed fitted models; paired evaluation-BIN bootstrap
M1__recall_persisters,0.23110796999021421,0.22633876038948636,0.23463889138368754,500,500,Conditional on fixed fitted models; paired evaluation-BIN bootstrap
M1__persisters_per_100_reviews,70.334215751158169,68.739952746961976,71.612970430107524,500,500,Conditional on fixed fitted models; paired evaluation-BIN bootstrap
Delta__IBS,-0.0033877935606376475,-0.0039628840667207173,-0.0028278961640305434,500,500,Conditional on fixed fitted models; paired evaluation-BIN bootstrap
Delta__BS_180,-0.0034544055412484287,-0.0041340629824516729,-0.0027573379991253696,500,500,Conditional on fixed fitted models; paired evaluation-BIN bootstrap
Delta__AUC_180,0.04602493102207017,0.038114084995548615,0.054972124078839488,500,500,Conditional on fixed fitted models; paired evaluation-BIN bootstrap
Delta__mean_calibration_bias_180,0.0086005747525642398,0.0078383940528089797,0.009297847825794861,500,500,Conditional on fixed fitted models; paired evaluation-BIN bootstrap
Delta__offset_intercept_180,-0.040242613820176548,-0.04396333537671579,-0.0362171286997841,500,500,Conditional on fixed fitted models; paired evaluation-BIN bootstrap
Delta__joint_intercept_180,-0.1812483710171604,-0.41055239278886307,0.069130107398896842,500,500,Conditional on fixed fitted models; paired evaluation-BIN bootstrap
Delta__slope_180,0.14905253862050394,-0.11448165453422048,0.38669755930221539,500,500,Conditional on fixed fitted models; paired evaluation-BIN bootstrap
Delta__BS_365,-0.0067101592377574182,-0.0077447766852825912,-0.0057422358805138815,500,500,Conditional on fixed fitted models; paired evaluation-BIN bootstrap
Delta__AUC_365,0.053522352956668073,0.046356775589805714,0.060702712177825989,500,500,Conditional on fixed fitted models; paired evaluation-BIN bootstrap
Delta__mean_calibration_bias_365,0.013703857946000472,0.01271140530168092,0.014592575574539204,500,500,Conditional on fixed fitted models; paired evaluation-BIN bootstrap
Delta__offset_intercept_365,-0.050112940774020898,-0.053958792928104078,-0.04591145517372329,500,500,Conditional on fixed fitted models; paired evaluation-BIN bootstrap
Delta__joint_intercept_365,-0.1041809929107041,-0.14188158461555367,-0.069389572499980873,500,500,Conditional on fixed fitted models; paired evaluation-BIN bootstrap
Delta__slope_365,0.33784935310578301,0.14215166665549259,0.54296831176933757,500,500,Conditional on fixed fitted models; paired evaluation-BIN bootstrap
Delta__flagged,0,0,0,500,500,Conditional on fixed fitted models; paired evaluation-BIN bootstrap
Delta__realized_review_fraction,0,0,0,500,500,Conditional on fixed fitted models; paired evaluation-BIN bootstrap
Delta__persistence_among_flagged,0.051786896095301072,0.038626629078264002,0.059791999148845629,500,500,Conditional on fixed fitted models; paired evaluation-BIN bootstrap
Delta__recall_persisters,0.017016418397303473,0.012689106816921768,0.019600459908233298,500,500,Conditional on fixed fitted models; paired evaluation-BIN bootstrap
