model,horizon,decile,n,predicted_persistence,observed_persistence
M0,180,1,2963,0.679761138563327,0.7536280796490044
M0,180,2,3022,0.6947409679049736,0.7415618795499669
M0,180,3,2906,0.7029049430992123,0.7281486579490709
M0,180,4,2962,0.7081357885049427,0.7586090479405807
M0,180,5,2959,0.7155348807594856,0.762757688408246
M0,180,6,2976,0.723146522473523,0.7718413978494624
M0,180,7,2955,0.7312627242257222,0.7763113367174281
M0,180,8,2956,0.7396633308204863,0.7949932341001353
M0,180,9,2962,0.7508661412592246,0.7849426063470628
M0,180,10,2963,0.7702027944642555,0.8059399257509281
M1,180,1,2963,0.5786991453314515,0.6348295646304422
M1,180,2,2962,0.6909555600557745,0.7454422687373397
M1,180,3,2962,0.7225506889548308,0.763335584064821
M1,180,4,3217,0.7326125825619835,0.7447932856698788
M1,180,5,2709,0.739221577203647,0.7537836840162422
M1,180,6,2961,0.7466714181566324,0.7848699763593381
M1,180,7,2963,0.7549810575822405,0.7799527505906176
M1,180,8,2962,0.7636505123162916,0.8089128966914247
M1,180,9,2962,0.775472438615872,0.825793382849426
M1,180,10,2963,0.7977641016928998,0.8380020249746878
M0,365,1,2963,0.48735145879322533,0.6071549105636179
M0,365,2,3022,0.5074522227557285,0.5966247518199868
M0,365,3,2906,0.5186136802719407,0.5739848589125947
M0,365,4,2962,0.5258245637273651,0.6060094530722485
M0,365,5,2959,0.5361044727474849,0.6103413315309226
M0,365,6,2976,0.5467762882942093,0.6394489247311828
M0,365,7,2955,0.558259876568182,0.629103214890017
M0,365,8,2956,0.5702667808182511,0.6576454668470907
M0,365,9,2962,0.5864659433462143,0.638419986495611
M0,365,10,2963,0.6149760785745261,0.6500168747890651
M1,365,1,2963,0.3629234584411656,0.45021937225784675
M1,365,2,2962,0.5014597776306768,0.575962187711006
M1,365,3,2962,0.5448828471576521,0.6093855503038488
M1,365,4,3217,0.5591384005820865,0.598383587193037
M1,365,5,2709,0.5685988810941874,0.6116648209671466
M1,365,6,2961,0.5793533278437262,0.6335697399527187
M1,365,7,2963,0.5914587665673987,0.6483293958825515
M1,365,8,2962,0.6042152414055939,0.6819716407832546
M1,365,9,2962,0.621815963709726,0.7042538825118163
M1,365,10,2963,0.6557976101947679,0.6965912926088423
