model,horizon,decile,n,predicted_persistence,observed_persistence
M0,365,1,2447,0.4443071207524725,0.5991009399264405
M0,365,2,2440,0.4651434077374632,0.6139344262295082
M0,365,3,2445,0.4758041353066492,0.5881390593047034
M0,365,4,2474,0.48591491897963984,0.6156022635408246
M0,365,5,2410,0.49714381983238437,0.6199170124481328
M0,365,6,2443,0.5095116196989112,0.6582071223905035
M0,365,7,2443,0.5203379208042774,0.6627097830536226
M0,365,8,2443,0.5323969133417344,0.6590257879656161
M0,365,9,2443,0.5493076843955023,0.6803110929185427
M0,365,10,2443,0.5798114763414517,0.6758084322554236
M1,365,1,2445,0.3802564650173078,0.49652351738241307
M1,365,2,2446,0.432584256285675,0.5212591986917416
M1,365,3,2439,0.4930418353482559,0.6219762197621976
M1,365,4,2449,0.5189847135682327,0.6378113515720703
M1,365,5,2566,0.532043099969569,0.6356196414653157
M1,365,6,2315,0.5463340022050607,0.6673866090712743
M1,365,7,2442,0.5612547428264184,0.6850941850941851
M1,365,8,2443,0.5744760038400313,0.6913630781825624
M1,365,9,2454,0.591929689124692,0.7041564792176039
M1,365,10,2432,0.6278096087875565,0.7134046052631579
