"column","coefficient","standard_error"
"x1",-0.229978911539323,0.0187691666943268
"x2",-0.109715221915137,0.0128898824306138
"x3",-0.132543523587957,0.0152224505640877
"x4",0.0484940890455044,0.0275229538698623
"x5",0.0795468440185007,0.0147430298431341
"x6",-0.023346041771519,0.0222049903064297
"x7",0.152647445631123,0.0192542577041395
"x8",-0.0200796923030577,0.0380748430257716
"x9",0.136042721022192,0.00447025075548592
"x10",-0.0801110755181632,0.0145918995998174
"x11",-0.0862090855703921,0.014727467090816
"x12",-0.0388942658559572,0.014164463818037
"x13",-0.0641555898907478,0.0143800803385982
"x14",0.0149611007872556,0.0173306652569654
"x15",0.0566961193179637,0.0109360733502118
"x16",-0.0639135818505643,0.0167622363228408
"x17",-0.172379837543691,0.0263936409399045
"x18",0.0384813060034742,0.168437151817659
"x19",-0.178162377601493,0.116941938583326
"x20",0.133159537829015,0.100254386787286
