"column","coefficient","standard_error"
"x1",-0.215490938622869,0.0187709533982085
"x2",-0.094701348345321,0.0128959940638114
"x3",-0.121568860757955,0.0152232803341007
"x4",0.0838520571545659,0.0275150990118657
"x5",0.072572117372514,0.0147952272950846
"x6",-0.0451646922772557,0.0221984009540196
"x7",0.132880824285358,0.0192667824543404
"x8",-0.0396621171000332,0.0380787719495123
"x9",0.119541690939577,0.00452358002978371
"x10",-0.0656788125527719,0.014608503291913
"x11",-0.0708902475048464,0.0147426005473263
"x12",-0.031815848172064,0.0141705158682868
"x13",-0.0608401360434729,0.0143782663660748
"x14",0.000740383656771484,0.0173882665277196
"x15",0.0451236560812133,0.0109457110307723
"x16",-0.0441664891204203,0.0168137810559427
"x17",-0.161441978230043,0.0264377692231238
"x18",-0.0926198322580964,0.169761335080561
"x19",-0.166152045325055,0.117266671962411
"x20",0.114747004581813,0.101036668812859
"x21",1.13945213958828,0.0777680907845639
"x22",1.13178073562344,0.0788658058244222
"x23",1.14556844580997,0.0810450888672847
"x24",-0.119544112656888,0.015851327263723
"x25",-0.16070768507578,0.0190732104376636
"x26",0.053869240183022,0.0350153957762695
