"column","coefficient","standard_error"
"x1",-0.218167685338361,0.0187686627487459
"x2",-0.102100224540308,0.012890825545274
"x3",-0.124239060814197,0.0152086880549482
"x4",0.0755530540100616,0.0275108740261712
"x5",0.0814295065885962,0.0147744411418113
"x6",-0.0350174675333074,0.0221864086208909
"x7",0.141001740850754,0.0192543530802222
"x8",-0.0331400376748881,0.038079753281077
"x9",0.118434755338213,0.004517405420004
"x10",-0.0672474088314642,0.0146054821133473
"x11",-0.0720406412172488,0.0147408927442647
"x12",-0.0321042405146762,0.0141687249252879
"x13",-0.0616181127690259,0.0143786071956344
"x14",0.00678101385590734,0.0173738786396011
"x15",0.0472946367755502,0.0109399887843651
"x16",-0.0619321862168947,0.0167800628204546
"x17",-0.157888332242162,0.026419400584453
"x18",-0.0563536772591002,0.169237287928934
"x19",-0.182917759117635,0.117200632341945
"x20",0.122343058428104,0.100434752349388
"x21",0.407333845193273,0.0114882011191847
