"hazard","time"
0.0011430314281562,1
0.00244114077532806,2
0.00397213201878268,3
0.0054919991806365,4
0.00733905957043884,5
0.00943738219934959,6
0.0113006520355998,7
0.0125476923720029,8
0.0137508687511474,9
0.015034814382293,10
0.0164316383411516,11
0.0181779480102191,12
0.0202820614407858,13
0.0217373101009232,14
0.023084541523041,15
0.0243088780726984,16
0.0254570329900985,17
0.0266160622188941,18
0.0281688710660477,19
0.0300453711415742,20
0.0315974351810454,21
0.0326152685286468,22
0.0336598182613688,23
0.0347874991295648,24
0.0360718550472867,25
0.0377324186257701,26
0.0395762104840738,27
0.041187546677404,28
0.0424187645372682,29
0.0434158872915394,30
0.044530662947391,31
0.0457709370563465,32
0.0474596756851204,33
0.0495091783833829,34
0.0510658403848664,35
0.0521108064966349,36
0.0533405141527603,37
0.0547550379935237,38
0.0559560081990909,39
0.0575954521261496,40
0.0592903643426296,41
0.0609132051449921,42
0.0620333340109909,43
0.0629620310513348,44
0.0641469302045134,45
0.0654797246816853,46
0.0670980824841376,47
0.0689520307845478,48
0.070364264877321,49
0.0715044705872958,50
0.072577740777595,51
0.0736715407275547,52
0.074967956162886,53
0.0765612523315354,54
0.0784108707357138,55
0.0799681184182525,56
0.0812140680360926,57
0.0822889406657658,58
0.083577828793199,59
0.0848259461510482,60
0.0862101488784499,61
0.0878907476116225,62
0.089405831347493,63
0.0908347980767535,64
0.0921080585653259,65
0.0933758417481284,66
0.0945128962190969,67
0.0961741155375944,68
0.0979307953471874,69
0.0994197327955349,70
0.100450103473898,71
0.101201996303556,72
0.102328094779075,73
0.103658008405924,74
0.105458421613436,75
0.107356414276201,76
0.108908836050242,77
0.109911887983691,78
0.110853106003676,79
0.111722616027366,80
0.112983940322473,81
0.114454535818372,82
0.116095764677633,83
0.117515452762134,84
0.118637870830852,85
0.119828684331983,86
0.120900490987697,87
0.122088579229035,88
0.123563740954171,89
0.125517562979246,90
0.127018898623227,91
0.128056277091729,92
0.129087136047358,93
0.130130344470429,94
0.131377357793185,95
0.132820118524233,96
0.134990505377444,97
0.136507822516781,98
0.137785864472682,99
0.138912019349385,100
0.139904656856627,101
0.140997900236616,102
0.142653161175797,103
0.144431248758323,104
0.145956766234615,105
0.147051038668205,106
0.148088985169584,107
0.149239153733522,108
0.150371854200931,109
0.151937044119965,110
0.153847550541156,111
0.155410854833996,112
0.15648460304136,113
0.157570959372127,114
0.158549292309528,115
0.159843175733597,116
0.161262051930849,117
0.162784938939791,118
0.164157568279303,119
0.165298134641126,120
0.16635948701664,121
0.16760799760818,122
0.168685246863847,123
0.170043637963766,124
0.171840287128276,125
0.173143566885576,126
0.174210219004872,127
0.175279047144916,128
0.176225443550994,129
0.177351530240267,130
0.17896183670222,131
0.180671453178478,132
0.18229996739197,133
0.183520775577723,134
0.184491371247251,135
0.185708194979531,136
0.187002878876822,137
0.188556541144779,138
0.19020033018445,139
0.191419049046485,140
0.192414496284487,141
0.193219052459141,142
0.19448842990549,143
0.195707876952125,144
0.197245575911278,145
0.198982560217311,146
0.200613771237817,147
0.201572026993161,148
0.202499841023523,149
0.203638103849224,150
0.20463655036709,151
0.206001026161632,152
0.207844383548452,153
0.209204262019236,154
0.210311413786511,155
0.211066203577542,156
0.212168260107364,157
0.21338525051168,158
0.214919894655345,159
0.216705787650503,160
0.218010798581055,161
0.219013803249407,162
0.219974205856105,163
0.221039500744887,164
0.222005637849134,165
0.223396540685359,166
0.225066373796728,167
0.226383662372576,168
0.227290208925269,169
0.22822206320294,170
0.229352383233928,171
0.230532048836017,172
0.232132984562963,173
0.233610531966616,174
0.23493868845699,175
0.236035803579434,176
0.236936578303832,177
0.237745682076528,178
0.238968790278894,179
0.240395609270466,180
0.242356755601327,181
0.243717945535458,182
0.244820273750323,183
0.245889734785013,184
0.246938227450977,185
0.248121096900712,186
0.249391226627263,187
0.250881286551016,188
0.252180941230995,189
0.253241258327983,190
0.254086698182749,191
0.255200981723941,192
0.256306612684255,193
0.257720880232332,194
0.259382233162829,195
0.260752614713741,196
0.261585714780143,197
0.262863222065883,198
0.263676145943378,199
0.264763595696123,200
0.266463704786119,201
0.268082162826925,202
0.269516123591869,203
0.270377656321168,204
0.271279171793372,205
0.27205793489718,206
0.27323022240695,207
0.274418665505952,208
0.276205793372766,209
0.277424346212261,210
0.278390590069369,211
0.279143266335559,212
0.280090158882549,213
0.280950168414369,214
0.282327371259158,215
0.284003374209029,216
0.285307414957045,217
0.286174000647519,218
0.287108136972965,219
0.288005899490583,220
0.28897193403216,221
0.290359638241515,222
0.292211565506707,223
0.293750878640704,224
0.295002573225912,225
0.296178790353967,226
0.297080275059816,227
0.29817052206345,228
0.299517623964084,229
0.301309842730306,230
0.302729796268568,231
0.303709130966384,232
0.304557193957381,233
0.305528796781428,234
0.306557103222214,235
0.307968433564028,236
0.30946549003755,237
0.310855628452336,238
0.31160602483568,239
0.312536235466079,240
0.313647945913273,241
0.31473562755851,242
0.316047373490394,243
0.317626127004608,244
0.318791081091262,245
0.319776815445692,246
0.320486292742373,247
0.321630668249874,248
0.322667196825383,249
0.323889393504605,250
0.325410982417284,251
0.326666561396438,252
0.32765557665002,253
0.328860111333738,254
0.329954793833912,255
0.330881580720773,256
0.332067741459891,257
0.333829846375426,258
0.334805308513033,259
0.335925541586858,260
0.336674984914947,261
0.337585564231348,262
0.338658287201172,263
0.340156244379244,264
0.342228255187454,265
0.343529203576105,266
0.34437821380214,267
0.345215081023611,268
0.346289916929626,269
0.347249938902781,270
0.348374870727755,271
0.34984434936605,272
0.351137454604885,273
0.351941195291281,274
0.352523016623462,275
0.353450736068411,276
0.354411194114142,277
0.355555369077284,278
0.357051178112819,279
0.3582010942567,280
0.359125108552736,281
0.359823702682681,282
0.360782921948259,283
0.361638117165657,284
0.362709797325389,285
0.364398333662166,286
0.365735678836112,287
0.366674762997331,288
0.367431133266443,289
0.368220387578811,290
0.36918238625726,291
0.370426858948934,292
0.37192485394047,293
0.373393739201681,294
0.374348160101625,295
0.375273883696458,296
0.376249027071176,297
0.376911349170346,298
0.37855600353672,299
0.380062395702956,300
0.381142130921907,301
0.382064235216504,302
0.382940953522119,303
0.383772277627054,304
0.384638128959574,305
0.385859966838026,306
0.387424169663022,307
0.388748353861483,308
0.389686647305142,309
0.390595170935332,310
0.391636207952294,311
0.392582310909641,312
0.393514609669071,313
0.394693967407585,314
0.396170143678028,315
0.396843531883198,316
0.397535031745165,317
0.398294547298167,318
0.399205252406166,319
0.400800257525579,320
0.402500639038683,321
0.40378602744312,322
0.40462169125833,323
0.405442723603383,324
0.406467905054597,325
0.40774949093268,326
0.408915994604047,327
0.410373217473462,328
0.411493027730549,329
0.412240271958194,330
0.413125803316764,331
0.41409839835294,332
0.415090936718032,333
0.416293189699213,334
0.417722546515547,335
0.418895029919238,336
0.419706411400527,337
0.4206587778796,338
0.421474685560856,339
0.422293159226407,340
0.42334117984534,341
0.424865029002414,342
0.426110269152716,343
0.426847831383906,344
0.427745441782207,345
0.428522086691066,346
0.429371214922184,347
0.430398292741745,348
0.431480285267923,349
0.43259954265744,350
0.433381954324722,351
0.434202205100885,352
0.435042760094188,353
0.435903708515684,354
0.437756288412183,355
0.43921693642191,356
0.440300351541209,357
0.441095975500371,358
0.441730180353561,359
0.442529463236489,360
0.443494916566722,361
0.444609093989425,362
0.446000472784363,363
0.447136934388627,364
0.448073064449167,365
