population,model,loss,estimate,percentile_2_5,percentile_97_5,finite_replicates,requested_replicates
2023,M_base,IBS_0_365,0.16134400355926309,0.1591901693374552,0.16315995917765447,500,500
2023,M_base,Brier_180,0.17915860985376744,0.17612598061811477,0.18170523700013791,500,500
2023,M_base,Brier_365,0.24043994558656617,0.23955391399409884,0.24117953267377384,500,500
2023,M_any,IBS_0_365,0.15923721543413882,0.15706264590297406,0.16116928329226168,500,500
2023,M_any,Brier_180,0.17716383556591841,0.17415592421365031,0.17978726316813229,500,500
2023,M_any,Brier_365,0.23582385052754984,0.23463456602873969,0.23696084007684651,500,500
2023,M_count,IBS_0_365,0.15916519871019347,0.15704147101975183,0.16112325992192372,500,500
2023,M_count,Brier_180,0.17706718801078913,0.17399130565210255,0.17972731999849109,500,500
2023,M_count,Brier_365,0.23569912365482648,0.23445400801158212,0.23689410164041094,500,500
2023,M_history,IBS_0_365,0.15777139711609098,0.1555757184970594,0.15978187349743614,500,500
2023,M_history,Brier_180,0.17554639779772296,0.17243922281174512,0.17824425200103949,500,500
2023,M_history,Brier_365,0.23328983108227674,0.23192637276503436,0.23463494527629361,500,500
full_2024,M_base,Brier_180,0.18072757169862519,0.17838423339358525,0.18302460049978686,500,500
full_2024,M_any,Brier_180,0.17649598826993501,0.17396166707688845,0.17894906592381238,500,500
full_2024,M_count,Brier_180,0.17631617662340157,0.1738055043680285,0.17879212863894089,500,500
full_2024,M_history,Brier_180,0.17516471269216141,0.17260511247288249,0.1776924407569635,500,500
mature_2024,M_base,IBS_0_365,0.16421536085000785,0.16235346587433286,0.16613842237090148,500,500
mature_2024,M_base,Brier_365,0.24767129977871347,0.24702131170758079,0.24824085622868147,500,500
mature_2024,M_any,IBS_0_365,0.15997688624060419,0.15800602572722419,0.1619621402983325,500,500
mature_2024,M_any,Brier_365,0.23864996392570603,0.2377174547112729,0.23963412092184586,500,500
mature_2024,M_count,IBS_0_365,0.15981238259571545,0.15779885404693683,0.16182436953504456,500,500
mature_2024,M_count,Brier_365,0.23840451136308644,0.23742749208608269,0.23943584368973844,500,500
mature_2024,M_history,IBS_0_365,0.15874876113206929,0.156760736585666,0.16078746262967725,500,500
mature_2024,M_history,Brier_365,0.23673211994940221,0.23558110369182489,0.2380090619941285,500,500
