"column","coefficient","standard_error"
"x1",-0.219430080482308,0.0187687039327934
"x2",-0.10330806704675,0.0128909393498903
"x3",-0.127008895341113,0.0152134588171842
"x4",0.0754214384086072,0.0275088230067328
"x5",0.082330300597315,0.0147752870748959
"x6",-0.03564321997319,0.0221861472586331
"x7",0.140034059216959,0.0192562050998625
"x8",-0.0355317269392592,0.0380812456097713
"x9",0.118049413668195,0.00451851827727701
"x10",-0.0674347645771641,0.0146060986878207
"x11",-0.072939996478222,0.0147406377543944
"x12",-0.0326605167848465,0.0141687048283897
"x13",-0.0614959749460781,0.0143769310804586
"x14",0.00688653395374861,0.0173728691631534
"x15",0.0475466330443727,0.0109402556300538
"x16",-0.0632364094999582,0.0167802742910418
"x17",-0.160291838272434,0.0264217692905964
"x18",-0.0911815411038247,0.169564925914487
"x19",-0.199596141107005,0.117217010916464
"x20",0.134625818866095,0.100625034878971
"x21",0.361732155207699,0.0130912501982845
"x22",0.486953187580453,0.0218177606935611
"x23",0.594061526918669,0.0306906206207043
