metric,estimate,percentile_2_5,percentile_97_5,finite_replicates,requested_replicates,CI_scope
M0__BS_180,0.18072757169862519,0.17838423339358528,0.18302460049978686,500,500,Conditional on fixed fitted models; paired evaluation-BIN bootstrap
M0__AUC_180,0.55412869952792898,0.54549154785915721,0.5630751883365116,500,500,Conditional on fixed fitted models; paired evaluation-BIN bootstrap
M0__mean_calibration_bias_180,-0.086876857354186765,-0.093185960281009853,-0.080525321402079644,500,500,Conditional on fixed fitted models; paired evaluation-BIN bootstrap
M0__offset_intercept_180,0.44743666596522796,0.41120243140575929,0.48390626620610377,500,500,Conditional on fixed fitted models; paired evaluation-BIN bootstrap
M0__joint_intercept_180,0.19359069272924564,0.011976999875033457,0.36775669754240725,500,500,Conditional on fixed fitted models; paired evaluation-BIN bootstrap
M0__slope_180,1.3239401923577094,1.1234344552055473,1.5469909224475114,500,500,Conditional on fixed fitted models; paired evaluation-BIN bootstrap
M0__flagged,6875,6777.9499999999998,6987.6750000000002,500,500,Conditional on fixed fitted models; paired evaluation-BIN bootstrap
M0__realized_review_fraction,0.20311992200194995,0.20293158854938909,0.20352450185786902,500,500,Conditional on fixed fitted models; paired evaluation-BIN bootstrap
M0__persistence_among_flagged,0.81818181818181823,0.80578671420663894,0.82753085727290376,500,500,Conditional on fixed fitted models; paired evaluation-BIN bootstrap
M0__recall_persisters,0.21435920887161314,0.21134900892359498,0.21690118951694287,500,500,Conditional on fixed fitted models; paired evaluation-BIN bootstrap
M0__persisters_per_100_reviews,81.818181818181813,80.578671420663895,82.753085727290369,500,500,Conditional on fixed fitted models; paired evaluation-BIN bootstrap
M1__BS_180,0.17649598826993501,0.17396166707688843,0.17894906592381232,500,500,Conditional on fixed fitted models; paired evaluation-BIN bootstrap
M1__AUC_180,0.58730178258379973,0.57931408529822137,0.59495223323780122,500,500,Conditional on fixed fitted models; paired evaluation-BIN bootstrap
M1__mean_calibration_bias_180,-0.072367165341653952,-0.07855193852228895,-0.066202056902264203,500,500,Conditional on fixed fitted models; paired evaluation-BIN bootstrap
M1__offset_intercept_180,0.38211395338655002,0.3465165843709378,0.41807399278573332,500,500,Conditional on fixed fitted models; paired evaluation-BIN bootstrap
M1__joint_intercept_180,0.21841386814722077,0.11443943601621509,0.3214632516747295,500,500,Conditional on fixed fitted models; paired evaluation-BIN bootstrap
M1__slope_180,1.1957906501930256,1.0863879604499909,1.3093897327247985,500,500,Conditional on fixed fitted models; paired evaluation-BIN bootstrap
M1__flagged,6875,6777.9499999999998,6987.6750000000002,500,500,Conditional on fixed fitted models; paired evaluation-BIN bootstrap
M1__realized_review_fraction,0.20311992200194995,0.20293158854938909,0.20352450185786902,500,500,Conditional on fixed fitted models; paired evaluation-BIN bootstrap
M1__persistence_among_flagged,0.83869090909090904,0.82838670882940435,0.8481912924271876,500,500,Conditional on fixed fitted models; paired evaluation-BIN bootstrap
M1__recall_persisters,0.21973247970732823,0.21698588276778591,0.22230047966559208,500,500,Conditional on fixed fitted models; paired evaluation-BIN bootstrap
M1__persisters_per_100_reviews,83.869090909090914,82.838670882940434,84.819129242718773,500,500,Conditional on fixed fitted models; paired evaluation-BIN bootstrap
Delta__BS_180,-0.0042315834286901777,-0.0047617715551482526,-0.0037259965204614791,500,500,Conditional on fixed fitted models; paired evaluation-BIN bootstrap
Delta__AUC_180,0.033173083055870745,0.024919248590279448,0.040400377935505299,500,500,Conditional on fixed fitted models; paired evaluation-BIN bootstrap
Delta__mean_calibration_bias_180,0.014509692012532813,0.013964479081845924,0.015086065986661318,500,500,Conditional on fixed fitted models; paired evaluation-BIN bootstrap
Delta__offset_intercept_180,-0.065322712578677944,-0.068180590315973011,-0.06266000405264617,500,500,Conditional on fixed fitted models; paired evaluation-BIN bootstrap
Delta__joint_intercept_180,0.02482317541797513,-0.1108661847087286,0.17484353787299867,500,500,Conditional on fixed fitted models; paired evaluation-BIN bootstrap
Delta__slope_180,-0.12814954216468388,-0.32504684611017315,0.047804055379689014,500,500,Conditional on fixed fitted models; paired evaluation-BIN bootstrap
Delta__flagged,0,0,0,500,500,Conditional on fixed fitted models; paired evaluation-BIN bootstrap
Delta__realized_review_fraction,0,0,0,500,500,Conditional on fixed fitted models; paired evaluation-BIN bootstrap
Delta__persistence_among_flagged,0.02050909090909081,0.012446322161616841,0.030392106996733097,500,500,Conditional on fixed fitted models; paired evaluation-BIN bootstrap
Delta__recall_persisters,0.0053732708357150938,0.0032546338870600871,0.0079708649843372482,500,500,Conditional on fixed fitted models; paired evaluation-BIN bootstrap
Delta__persisters_per_100_reviews,2.0509090909091015,1.2446322161616752,3.0392106996733106,500,500,Conditional on fixed fitted models; paired evaluation-BIN bootstrap
M0__Uno_C_180,0.54853968922293606,0.54094494290780337,0.55637948387555214,500,500,Conditional on fixed fitted models; paired evaluation-BIN bootstrap
M1__Uno_C_180,0.57843350566512197,0.57150535183816165,0.58513080400543238,500,500,Conditional on fixed fitted models; paired evaluation-BIN bootstrap
Delta__Uno_C_180,0.029893816442185899,0.022683620403312864,0.036580012323186521,500,500,Conditional on fixed fitted models; paired evaluation-BIN bootstrap
