model,horizon,decile,n,predicted_persistence,observed_persistence
M0,365,1,2444,0.4329188291202621,0.6055646481178396
M0,365,2,2444,0.46597423412228184,0.603518821603928
M0,365,3,2650,0.48197333717271384,0.5984905660377359
M0,365,4,2235,0.4957199779592045,0.6228187919463087
M0,365,5,2516,0.5080990922179658,0.640302066772655
M0,365,6,2370,0.5206888762148247,0.6544303797468355
M0,365,7,2443,0.5355342676035786,0.6623004502660663
M0,365,8,2443,0.5519792820013776,0.634465820712239
M0,365,9,2443,0.5773946417360867,0.6537044617273844
M0,365,10,2443,0.6303423373672521,0.6995497339336881
M1,365,1,2444,0.33667830282822586,0.4369885433715221
M1,365,2,2443,0.474448896013159,0.5959885386819485
M1,365,3,2443,0.5085891949553639,0.6279164961113385
M1,365,4,2443,0.5265301288339312,0.6266884977486696
M1,365,5,2443,0.5427541795135231,0.6569791240278346
M1,365,6,2545,0.556887803559267,0.6719056974459725
M1,365,7,2343,0.5723857722623367,0.6862996158770807
M1,365,8,2441,0.5880792148658329,0.6607947562474396
M1,365,9,2443,0.6127671847127426,0.6905444126074498
M1,365,10,2443,0.6731942241725144,0.7191977077363897
