metric,estimate,percentile_2_5,percentile_97_5,finite_replicates,requested_replicates,CI_scope
M0__BS_180,0.17561017559746189,0.1728281147328033,0.17837135467141191,500,500,Conditional on fixed fitted models; paired evaluation-BIN bootstrap
M0__AUC_180,0.55455439924293237,0.54574667074678829,0.56308737701282119,500,500,Conditional on fixed fitted models; paired evaluation-BIN bootstrap
M0__mean_calibration_bias_180,-0.049153601089490531,-0.055461943199403861,-0.042886027765748173,500,500,Conditional on fixed fitted models; paired evaluation-BIN bootstrap
M0__offset_intercept_180,0.26447843010485722,0.22878605012387893,0.30103546040480117,500,500,Conditional on fixed fitted models; paired evaluation-BIN bootstrap
M0__joint_intercept_180,0.062568809678417728,-0.1469380429364808,0.26697430774122066,500,500,Conditional on fixed fitted models; paired evaluation-BIN bootstrap
M0__slope_180,1.2090310517099148,1.0072262408147961,1.4135476009461991,500,500,Conditional on fixed fitted models; paired evaluation-BIN bootstrap
M0__flagged,6875,6777.9499999999998,6987.6750000000002,500,500,Conditional on fixed fitted models; paired evaluation-BIN bootstrap
M0__realized_review_fraction,0.20311992200194995,0.20293158854938909,0.20352450185786902,500,500,Conditional on fixed fitted models; paired evaluation-BIN bootstrap
M0__persistence_among_flagged,0.82472727272727275,0.81423542751178535,0.83518889950651731,500,500,Conditional on fixed fitted models; paired evaluation-BIN bootstrap
M0__recall_persisters,0.21607408254258603,0.21373230605333968,0.21864774577850218,500,500,Conditional on fixed fitted models; paired evaluation-BIN bootstrap
M0__persisters_per_100_reviews,82.472727272727269,81.42354275117853,83.51888995065174,500,500,Conditional on fixed fitted models; paired evaluation-BIN bootstrap
M1__BS_180,0.17268411058849301,0.17002900122576234,0.1754028513124582,500,500,Conditional on fixed fitted models; paired evaluation-BIN bootstrap
M1__AUC_180,0.59746605031620825,0.58953622863255695,0.60500433897180339,500,500,Conditional on fixed fitted models; paired evaluation-BIN bootstrap
M1__mean_calibration_bias_180,-0.049105676542067316,-0.055236429212943201,-0.043036119555530522,500,500,Conditional on fixed fitted models; paired evaluation-BIN bootstrap
M1__offset_intercept_180,0.26860320107395619,0.23319189387596664,0.30476371186589268,500,500,Conditional on fixed fitted models; paired evaluation-BIN bootstrap
M1__joint_intercept_180,0.18981945690788418,0.10566760791445752,0.27948995443151287,500,500,Conditional on fixed fitted models; paired evaluation-BIN bootstrap
M1__slope_180,1.0832841368736832,0.99666227352408254,1.1629964273924556,500,500,Conditional on fixed fitted models; paired evaluation-BIN bootstrap
M1__flagged,6875,6777.9499999999998,6987.6750000000002,500,500,Conditional on fixed fitted models; paired evaluation-BIN bootstrap
M1__realized_review_fraction,0.20311992200194995,0.20293158854938909,0.20352450185786902,500,500,Conditional on fixed fitted models; paired evaluation-BIN bootstrap
M1__persistence_among_flagged,0.84465454545454544,0.8368639862906232,0.85529499244312457,500,500,Conditional on fixed fitted models; paired evaluation-BIN bootstrap
M1__recall_persisters,0.22129492016310354,0.21946632489821533,0.22425656686915921,500,500,Conditional on fixed fitted models; paired evaluation-BIN bootstrap
M1__persisters_per_100_reviews,84.465454545454548,83.68639862906231,85.529499244312461,500,500,Conditional on fixed fitted models; paired evaluation-BIN bootstrap
Delta__BS_180,-0.0029260650089688867,-0.0035554704661998433,-0.0023198923270971632,500,500,Conditional on fixed fitted models; paired evaluation-BIN bootstrap
Delta__AUC_180,0.04291165107327588,0.036241285967622626,0.049532437759092246,500,500,Conditional on fixed fitted models; paired evaluation-BIN bootstrap
Delta__mean_calibration_bias_180,4.7924547423215669e-05,-0.00059556305866867909,0.00067612455463885444,500,500,Conditional on fixed fitted models; paired evaluation-BIN bootstrap
Delta__offset_intercept_180,0.0041247709690989676,0.00075932693381335623,0.0073815643196423735,500,500,Conditional on fixed fitted models; paired evaluation-BIN bootstrap
Delta__joint_intercept_180,0.12725064722946644,-0.039391907902821405,0.29041945099773625,500,500,Conditional on fixed fitted models; paired evaluation-BIN bootstrap
Delta__slope_180,-0.12574691483623157,-0.29469762795870597,0.044650606107858717,500,500,Conditional on fixed fitted models; paired evaluation-BIN bootstrap
Delta__flagged,0,0,0,500,500,Conditional on fixed fitted models; paired evaluation-BIN bootstrap
Delta__realized_review_fraction,0,0,0,500,500,Conditional on fixed fitted models; paired evaluation-BIN bootstrap
Delta__persistence_among_flagged,0.019927272727272682,0.015008374772507094,0.029889411104887915,500,500,Conditional on fixed fitted models; paired evaluation-BIN bootstrap
Delta__recall_persisters,0.0052208376205175044,0.0039347600869446102,0.0078492595364585086,500,500,Conditional on fixed fitted models; paired evaluation-BIN bootstrap
Delta__persisters_per_100_reviews,1.9927272727272793,1.5008374772507076,2.988941110488796,500,500,Conditional on fixed fitted models; paired evaluation-BIN bootstrap
M0__Uno_C_180,0.548107524735295,0.54054967705066381,0.55550299125657776,500,500,Conditional on fixed fitted models; paired evaluation-BIN bootstrap
M1__Uno_C_180,0.58779332290341302,0.5806023541282197,0.59475249965252441,500,500,Conditional on fixed fitted models; paired evaluation-BIN bootstrap
Delta__Uno_C_180,0.039685798168117202,0.033752012793749016,0.045605946659759242,500,500,Conditional on fixed fitted models; paired evaluation-BIN bootstrap
