model,horizon,decile,n,predicted_persistence,observed_persistence
M0,180,1,3392,0.6757876781895344,0.7408608490566038
M0,180,2,3385,0.6917528194785358,0.7358936484490399
M0,180,3,3378,0.7024460931871591,0.7424511545293073
M0,180,4,3384,0.7123826950445357,0.7464539007092199
M0,180,5,3385,0.7221203312286598,0.7533234859675036
M0,180,6,3389,0.7309514859978093,0.7822366479787548
M0,180,7,3380,0.739379167617764,0.7887573964497041
M0,180,8,3384,0.7483860085794056,0.8114657210401891
M0,180,9,3385,0.759062222605055,0.8174298375184638
M0,180,10,3385,0.7790959091281786,0.83397341211226
M1,180,1,3385,0.5712251673290253,0.6248153618906942
M1,180,2,3541,0.6794121341895408,0.7351030782264897
M1,180,3,3244,0.7087164789298701,0.7450678175092479
M1,180,4,3373,0.7221574228478218,0.77438482063445
M1,180,5,3381,0.734201673758785,0.7657497781721384
M1,180,6,3384,0.7449903533386217,0.7792553191489362
M1,180,7,3385,0.7550630481497025,0.8047267355982275
M1,180,8,3384,0.7657298106191947,0.8297872340425532
M1,180,9,3385,0.7777586879456042,0.8327917282127031
M1,180,10,3385,0.8039577229241407,0.8617429837518464
